Time (s),      MJD UTC     ,      ECI X (km)    ,      ECI Y (km)    ,      ECI Z (km)    ,      ECI U (km/s)    ,      ECI V (km/s)    ,      ECI W (km/s)    ,  Semi-Major Axis (km),      Eccentricity     ,    Inclination (rad)  ,  Arg of Perigee (rad) ,       RAAN (rad)      ,   True Anomaly (rad)  ,  Latitude (rad)   ,  Longitude (rad)  ,   Altitude (km)    ,  Rho:10E-9 kg/m^3 
   36000, 58281.41838368667,  -5690.932508003558,  -3666.959939460471,     96.873451373139,  2.501115792216888374, -4.050013779528669740, -6.015829442711144083,  6768.104171345364569, 0.00077343780045910507, 0.90163585897169864109, 1.02791875468792728312, 0.58371121520971193348, 2.09543124876818997841,  0.012926259235840,  2.822658455588662, 392.589731366215517,  0.000000000000000
   39600, 58281.46005035334,   1575.447217702796,   5042.540620329666,   4222.269200820715, -6.690582818073768014, -0.963337709852679031,  3.645914528639098186,  6768.104283913141245, 0.00077348193118939318, 0.90163583043659331959, 1.02788541922377216935, 0.58371119138119001240, 6.17593979235467102802,  0.677851541406228,  0.115496368870989, 393.131681006022745,  0.000000000000000
   43200, 58281.50171702000,   3830.589465982870,  -2294.988857135184,  -5090.631731574656,  5.383896846508764159,  5.185589531309310379,  1.719304772817819964,  6768.103928710600957, 0.00077344969091233014, 0.90163581006777070398, 1.02788145053295759234, 0.58371116250653041466, 3.97375961786097148492, -0.852326340460329, -1.955124084014302, 405.566477944440805,  0.000000000000000
   46800, 58281.54338368667,  -6096.314239515737,  -2355.435310394363,   1763.077167576192,  0.343047189754367188, -5.152592576535304225, -5.675266118261869867,  6768.104028739949020, 0.00077345045106904130, 0.90163579003013979979, 1.02789532226797146897, 0.58371114505874814604, 1.77519936317077620320,  0.263450622137213,  1.831251609616094, 392.465143208504060,  0.000000000000000
   50400, 58281.58505035334,   3353.547924933840,   5052.888125186494,   2994.131072664593, -5.785390336857105350,  0.890674839940966013,  4.971203872860786185,  6768.104331866973092, 0.00077348207514396530, 0.90163576021634216025, 1.02785818356827680226, 0.58371112428910268416, 5.85505961202527450441,  0.462073159272023, -0.955785843763777, 389.426940097695137,  0.000000000000000
   54000, 58281.62671702000,   2140.333714687567,  -3618.897224912114,  -5309.572632865894,  6.476018164535863133,  4.103942787586667839, -0.182916357171852083,  6768.104059778647360, 0.00077343764790625971, 0.90163573497926226415, 1.02786441339273005723, 0.58371109206809040828, 3.65373146931607962421, -0.903178224085801,  3.044479946287988, 407.676537145083046,  0.000000000000000
   57600, 58281.66838368667,  -5881.373152941215,   -804.254306146221,   3249.861794629689, -1.851471851483554997, -5.731468662961685777, -4.756773303214745576,  6768.103919704915979, 0.00077344667156084018, 0.90163571607587514789, 1.02787362148279192786, 0.58371106872042750251, 1.45481160350480901312,  0.501821711844893,  0.810933941368309, 394.274824781404050,  0.000000000000000
   61200, 58281.71005035334,   4789.555007549371,   4547.778377557876,   1460.548230329473, -4.290400393842991965,  2.653286905980075220,  5.789066048491379228,  6768.104278889618770, 0.00077346384021417854, 0.90163568753660826082, 1.02784341206739188396, 0.58371105020076229525, 5.53423246383702046192,  0.220235125177785, -1.969142161188651, 387.144176911050579,  0.000000000000000
   64800, 58281.75171702000,    232.612010357593,  -4575.138380540788,  -4989.069173996583,  6.909893274721352002,  2.605784976431696784, -2.065881264792907646,  6768.104214659972221, 0.00077341537824036417, 0.90163565731884373172, 1.02786380790741935373, 0.58371101784007445041, 3.33376388534743320932, -0.831024268467831,  1.773660979943324, 406.729561281336316,  0.000000000000000
   68400, 58281.79338368667,  -5067.552550408962,    828.802035956093,   4405.704127344827, -3.858973194951003184, -5.726932230712128194, -3.353076615190236558,  6768.103897109738898, 0.00077343592044853035, 0.90163563718417432118, 1.02787190801364547660, 0.58371098727283001210, 1.13424738212169567140,  0.710493865501924, -0.274269677524655, 396.804990009574624,  0.000000000000000
   72000, 58281.83505035334,   5737.177603464685,   3578.921004447171,   -221.981792989406, -2.358772665429992232,  4.144545824072355648,  6.016371365224917889,  6768.104151217754806, 0.00077344196298578142, 0.90163561169768118513, 1.02785349439918742131, 0.58371096825196945113, 5.21348784402233056401, -0.031535883179329, -2.958762620351589, 387.470416235159632,  0.000000000000000
   75600, 58281.87671702000,  -1698.741739654667,  -5066.670803870159,  -4161.810015153906,  6.641871710978454324,  0.843164765345675177, -3.738754582122128918,  6768.104326182468122, 0.00077340000055084359, 0.90163557812197802472, 1.02788460538727610195, 0.58371093858364092794, 3.01380488540913810862, -0.665272886905482,  0.611211135981885, 403.266887721604689,  0.000000000000000
   79200, 58281.91838368667,  -3737.366029954663,   2377.386076924763,   5112.599214665467, -5.474445857057961228, -5.138642275367749937, -1.606676555534690667,  6768.103974937347078, 0.00077343456373637620, 0.90163555417305895452, 1.02788896627800870477, 0.58371090174685314692, 0.81352152979777255805,  0.858490186335849, -1.465408694553088, 398.576846317659715,  0.000000000000000
   82800, 58281.96005035334,   6100.118673276057,   2245.314339368355,  -1881.907693139266, -0.188065080415604462,  5.212618952462324755,  5.630596540652245732,  6768.104009431816464, 0.00077343281514447894, 0.90163553186670898030, 1.02787902653089448105, 0.58371087852398547519, 4.89286602076306147624, -0.281849220605426,  2.331662687738556, 390.665563602351881,  0.000000000000000
