Time (s),      MJD UTC     ,      ECI X (km)    ,      ECI Y (km)    ,      ECI Z (km)    ,      ECI U (km/s)    ,      ECI V (km/s)    ,      ECI W (km/s)    ,  Semi-Major Axis (km),      Eccentricity     ,    Inclination (rad)  ,  Arg of Perigee (rad) ,       RAAN (rad)      ,   True Anomaly (rad)  ,  Latitude (rad)   ,  Longitude (rad)  ,   Altitude (km)    ,  Rho:10E-9 kg/m^3 
   43200, 58281.50171702000,   3832.598464218592,  -2292.936452025125,  -5089.881743763117,  5.382048123272845356,  5.186783179120230561,  1.721846265795149846,  6768.000186739779641, 0.00077175450786307406, 0.90163702357645811422, 1.02553363942049869881, 0.58371228397529237260, 3.97654470946994657312, -0.852178617881227, -1.954500070182869, 405.441051617257131,  0.015178789037868
   46800, 58281.54338368667,  -6096.046194425824,  -2357.822429137124,   1760.381980435990,  0.346753855058923305, -5.151194786566053403, -5.676389503198806313,  6767.984713514491985, 0.00077026008446336712, 0.90163725404897778425, 1.02609714305628182854, 0.58371174179016149856, 1.77753026423887525284,  0.263040729315262,  1.831607200296127, 392.348983137278537,  0.024507976964000
   50400, 58281.58505035334,   3350.126107079481,   5053.309411913437,   2996.969204223012, -5.787935733980460585,  0.886901653601128898,  4.969016109966457164,  6767.971397810923758, 0.00077126499936456528, 0.90163752818427021942, 1.02627694533470043231, 0.58371136531686400843, 5.85730071243860813584,  0.462551380531917, -0.955276058660568, 389.311041535357504,  0.027522497153300
   54000, 58281.62671702000,   2144.751848431121,  -3615.957578892246,  -5309.571963004974,  6.474209560230330175,  4.107210737388120286, -0.178205626867777045,  6767.955162890304547, 0.00077065599377453200, 0.90163774733737889883, 1.02569703564374946337, 0.58371074924302136994, 3.65668220247482955417, -0.903208466270277,  3.045739068185797, 407.504193535481477,  0.015859971520130
   57600, 58281.66838368667,  -5882.737272544437,   -808.881043304733,   3245.940293425020, -1.845348167522638208, -5.730671346297071174, -4.760229348616414636,  6767.941963930752275, 0.00076953788248263576, 0.90163815931644593994, 1.02611070568799218525, 0.58371004047993546126, 1.45749350879874704475,  0.501170968540369,  0.811674323069188, 394.118176690383621,  0.024096887715371
   61200, 58281.71005035334,   4785.346901274733,   4550.192139937671,   1466.047905663098, -4.296311505632636375,  2.647725398293495350,  5.787349536326932180,  6767.934642407773997, 0.00077055550735671857, 0.90163869807478336780, 1.02604450598783049462, 0.58370963975828036723, 5.53711613989166322267,  0.221077285887670, -1.968436991033362, 386.986491516353794,  0.024841092042215
   64800, 58281.75171702000,    240.119446291653,  -4572.140241144685,  -4991.177617070742,  6.909683309362203766,  2.612223837356946881, -2.058940559574757703,  6767.924132323786622, 0.00076955027490870248, 0.90163907923761400808, 1.02586979400023694110, 0.58370930690884206750, 3.33699202918359477286, -0.831515172442616,  1.775333513775422, 406.530884041779927,  0.013116574574634
   68400, 58281.79338368667,  -5072.169750394726,    821.715940992540,   4401.470285057904, -3.850969582810410677, -5.728287749484220070, -3.360126309660209020,  6767.915174022595843, 0.00076917136273038389, 0.90163943764098910763, 1.02581755498034426274, 0.58370899258957486118, 1.13770070487394916211,  0.709688833356287, -0.272766244559713, 396.627861491310057,  0.017743013729102
   72000, 58281.83505035334,   5733.719627855325,   3584.600049024216,   -213.563669292787, -2.369078297300726428,  4.138156126792858571,  6.016864564706747355,  6767.911379008880191, 0.00076961781865605175, 0.90163984773825157410, 1.02600755878050153521, 0.58370878311847146543, 5.21692045453483622605, -0.030284972361324, -2.957778235568099, 387.272885237203752,  0.015089458143934
   75600, 58281.87671702000,  -1688.453354153788,  -5065.172181955994,  -4167.449392641184,  6.645346882842218671,  0.853223550634499350, -3.730582905870676358,  6767.906169908284221, 0.00076888924079361783, 0.90164021108963806445, 1.02559042706102558694, 0.58370878549578009197, 3.01784635912088365422, -0.666353452398235,  0.612952561433760, 403.063348777422277,  0.008811146315324
