Time (s),      MJD UTC     ,      ECI X (km)    ,      ECI Y (km)    ,      ECI Z (km)    ,      ECI U (km/s)    ,      ECI V (km/s)    ,      ECI W (km/s)    ,  Semi-Major Axis (km),      Eccentricity     ,    Inclination (rad)  ,  Arg of Perigee (rad) ,       RAAN (rad)      ,   True Anomaly (rad)  ,  Latitude (rad)   ,  Longitude (rad)  ,   Altitude (km)    ,  Rho:10E-9 kg/m^3 
   43200, 58281.50171702000,   3836.239592402992,  -2289.276311949278,  -5088.589578734167,  5.378685314766022788,  5.188885673472165816,  1.726390245851280876,  6767.854116291688004, 0.00077203414977721906, 0.90163943741218881116, 1.02558399728930459745, 0.58371510084822938639, 3.97727825129261622827, -0.851913498366157, -1.953381020803599, 405.287703448783077,  0.025531533448048
   46800, 58281.54338368667,  -6095.615328863797,  -2361.968254977797,   1755.738034573101,  0.353122092646197381, -5.148779475605420197, -5.678299807430017519,  6767.833211300445677, 0.00077014404092599349, 0.90163977024131600462, 1.02644802734382584349, 0.58371437448386608244, 1.77809935884650921597,  0.262332777573028,  1.832222697491412, 392.192660146324272,  0.032210183716595
   50400, 58281.58505035334,   3344.629309101935,   5054.018852198851,   3001.546815353930, -5.792031208665340678,  0.880799596773309925,  4.965472253420520510,  6767.814651864474422, 0.00077165500629736359, 0.90164013812227630096, 1.02668294973643056082, 0.58371383285442426556, 5.85795578725820108128,  0.463320046437825, -0.954453619797807, 389.163663344911527,  0.034007165359604
   54000, 58281.62671702000,   2151.578089639392,  -3611.490546997704,  -5309.644349593604,  6.471345706109396798,  4.112199496289932867, -0.170969876795355694,  6767.793735685325304, 0.00077106350519469629, 0.90164041096846253857, 1.02594588918866016353, 0.58371305617488108432, 3.65763630988982814049, -0.903252929309542,  3.047675677566004, 407.343524625383111,  0.024625284411085
   57600, 58281.66838368667,  -5884.782065568196,   -815.719763715875,   3240.182686656927, -1.836335686149189957, -5.729489051345139581, -4.765277386448281319,  6767.776593293735413, 0.00076973102440367041, 0.90164095854131147542, 1.02649594113709798180, 0.58371211320375703392, 1.45846191252362234164,  0.500211646102276,  0.812767111918949, 393.940478645058988,  0.031219331958767
   61200, 58281.71005035334,   4779.516896943943,   4553.587596606437,   1473.686771912302, -4.304534496291966349,  2.639958337054575874,  5.784926130043314995,  6767.765166933765377, 0.00077132678027398991, 0.90164173161929852336, 1.02645916661041771540, 0.58371150353112252816, 5.53820684598669729344,  0.222245581425543, -1.967453902710143, 386.820056228375222,  0.035471364576124
   64800, 58281.75171702000,    250.236012420747,  -4568.177177139666,  -4994.074363764475,  6.909299476332460922,  2.620863771286728496, -2.049587109507551739,  6767.749545166199949, 0.00077007243019599760, 0.90164233400780955242, 1.02619038958940466148, 0.58371105131999647184, 3.33833038263109970964, -0.832171636514757,  1.777589374897201, 406.372257662046536,  0.025049206628700
   68400, 58281.79338368667,  -5078.207228718570,    812.462701790136,   4395.954151318801, -3.840520600534234096, -5.730052933709209173, -3.369282453575540601,  6767.734455559585373, 0.00076959183748108070, 0.90164299183835959256, 1.02616811463728501536, 0.58371050323152544006, 1.13917429515195144769,  0.708636468763453, -0.270805770071067, 396.430750878324375,  0.029864394525705
   72000, 58281.83505035334,   5729.395743737712,   3591.750389813327,   -203.019409453094, -2.382034029343817399,  4.130094485880551383,  6.017436893065444645,  6767.725445994111324, 0.00077071363963278654, 0.90164390196796038773, 1.02668395152683974677, 0.58371008540878681922, 5.21823169434075713469, -0.028717869528032, -2.956541210498287, 387.075486748148649,  0.035308688481185
   75600, 58281.87671702000,  -1675.749278304431,  -5063.380985313103,  -4174.444711813535,  6.649536490804704706,  0.865631657130612484, -3.720456951513956431,  6767.715089172889480, 0.00076940870793194893, 0.90164482980173023621, 1.02590001816650464885, 0.58371015925386197682, 3.01969326614314134737, -0.667684297224931,  0.615110565314332, 402.904403652037558,  0.026626930283542
   79200, 58281.91838368667,  -3757.697842637987,   2357.851089048856,   5106.260567424807, -5.456427507172981090, -5.150240962122260384, -1.631508062478717068,  6767.701184886150397, 0.00076956920344328166, 0.90164554193723256707, 1.02602859568040106933, 0.58371037160993639702, 0.81965421739349336294,  0.857117590302969, -1.459246872151431, 398.186435596577326,  0.028946917845746
   82800, 58281.96005035334,   6098.896271744888,   2266.529791573135,  -1858.710160548454, -0.220170747590605790,  5.200844419993651026,  5.640672019629547613,  6767.688499034884939, 0.00077016282093936901, 0.90164624103699548072, 1.02681815710520829967, 0.58371045714002419281, 4.89857573298273883677, -0.278283980965936,  2.334788576238291, 390.184629635820500,  0.033389222218508
   86400, 58282.00171702000,  -3432.105027460607,  -5047.597427684982,  -2933.877623798606,  5.718867768299503057, -0.976610253121907419, -5.015630270393615920,  6767.677843820190623, 0.00076915139985405314, 0.90164716567683725627, 1.02510309607768182764, 0.58371090361635038802, 2.70163380461117405237, -0.451494949527583, -0.450580687925007, 398.294421693924562,  0.028890900719159
   90000, 58282.04338368667,  -2057.104057291191,   3664.018868094664,   5299.311900869483, -6.520092332945281591, -4.048686073543293070,  0.271939752086047410,  6767.663929399110099, 0.00076948440629472918, 0.90164785763780632300, 1.02622817275464580798, 0.58371166826172154763, 0.49977525556125641952,  0.902561948292365, -2.744762084602808, 398.089818669161957,  0.028996294292036
   93600, 58282.08505035334,   5851.550283932525,    712.524539455066,  -3325.952769936779,  1.961772087002185984,  5.744812894961445200,  4.694103823860005124,  6767.645837730276412, 0.00076987278033113632, 0.90164825115155140811, 1.02623033081351448998, 0.58371228250834125657, 4.57989425403058503412, -0.514651309559167,  1.312643922346496, 395.343185587401024,  0.030448247926929
   97200, 58282.12671702000,  -4841.720142089917,  -4522.794233558056,  -1397.860631590472,  4.211381703575025506, -2.720308912651942377, -5.804874855337738389,  6767.628607842088823, 0.00076894026593830130, 0.90164880211561255688, 1.02435702223999510363, 0.58371287211945938793, 2.38356627599235032554, -0.210487792251456, -1.460882008210843, 394.195181737475082,  0.031077698227014
  100800, 58282.16838368667,   -148.934396610964,   4598.781329396892,   4955.834531742946, -6.923625863018980009, -2.537261779680684780,  2.147829691890093209,  6767.611803675774850, 0.00076924602826291169, 0.90164930360956460197, 1.02649570221250219053, 0.58371363160284472818, 0.17987519020217163172,  0.825550722748284,  2.271649750061221, 395.860255866356738,  0.030169064390831
  104400, 58282.21005035334,   5013.474383354153,   -912.788437964042,  -4456.772123028290,  3.943279228543173465,  5.708354199981533590,  3.274793966802895677,  6767.589942910951033, 0.00076967105297290895, 0.90164949057281365590, 1.02514913799618092791, 0.58371434108330748515, 4.26199437716032072509, -0.719981802391329,  0.224217686748706, 400.972613119985567,  0.027552145702407
